
2026/01/23 (18:39:44) | ===> btop++ v.1.3.2
2026/01/23 (18:39:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/23 (18:39:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2026/01/23 (18:40:03) | WARNING: Failed to join _runner thread on exit!

2026/01/23 (19:08:14) | ===> btop++ v.1.3.2
2026/01/23 (19:08:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/23 (19:08:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2026/01/23 (19:08:20) | WARNING: Failed to join _runner thread on exit!

2026/01/23 (19:40:26) | ===> btop++ v.1.3.2
2026/01/23 (19:40:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/23 (19:40:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/23 (22:19:13) | ===> btop++ v.1.3.2
2026/01/23 (22:19:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/23 (22:19:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/24 (18:47:24) | ===> btop++ v.1.3.2
2026/01/24 (18:47:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/24 (18:47:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/24 (18:55:43) | ===> btop++ v.1.3.2
2026/01/24 (18:55:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/24 (18:55:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/26 (14:36:41) | ===> btop++ v.1.3.2
2026/01/26 (14:36:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/26 (14:36:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/26 (16:15:00) | ===> btop++ v.1.3.2
2026/01/26 (16:15:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/26 (16:15:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2026/01/26 (16:25:07) | ===> btop++ v.1.3.2
2026/01/26 (16:25:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/26 (16:25:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2026/01/26 (16:25:49) | WARNING: Failed to join _runner thread on exit!

2026/01/26 (16:26:00) | ===> btop++ v.1.3.2
2026/01/26 (16:26:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/01/26 (16:26:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
